Source Selection Information - See FAR 2.101 and 3.104

,LOCATION,ICAO,COUNTRY/STATE,VENDOR NAME,REFUELING OPERATOR NAME,REFUELING OPERATOR ADDR,REFUELING OPERATOR PHONE,CONTRACT/SOLICIT NO/PR NO,CONTRACT PERIOD,LINE ITEM,PURCHASE PROGRAM,PRODUCT,ADDITIVES,MODE ID,QUANTITY,AWARD PRICE,TOTAL DOLLAR VALUE,
,ANCHORAGE INTERNATIONAL AIRPORT,PANC,AK,PETRO STAR INC.,INT'L AVIATION SERVICE,4200 W. 50TH AVE. ANCHORAGE  AK 99502,907-243-0756,SPE60722D0051,07/01/2022 - 03/31/2026,0002,23W,FEDERAL EXCISE TAX,,AIR,001768840,.218000,385607.12,
,ANCHORAGE INTERNATIONAL AIRPORT,PANC,AK,PETRO STAR INC.,INT'L AVIATION SERVICE,4200 W. 50TH AVE. ANCHORAGE  AK 99502,907-243-0756,SPE60722D0051,07/01/2022 - 03/31/2026,0003,23W,TURBINE FUELAVIATION JAA,FSII,AIRWF,001768840,2.491643,4407317.80,
,ANCHORAGE INTERNATIONAL AIRPORT,PANC,AK,PETRO STAR INC.,INT'L AVIATION SERVICE,4200 W. 50TH AVE. ANCHORAGE  AK 99502,907-243-0756,SPE60722D0051,07/01/2022 - 03/31/2026,0004,23W,FEDERAL EXCISE TAX,FSII,AIRWF,001768840,.218000,385607.12,
,ANCHORAGE INTERNATIONAL AIRPORT,PANC,AK,PETRO STAR INC.,INT'L AVIATION SERVICE,4200 W. 50TH AVE. ANCHORAGE  AK 99502,907-243-0756,SPE60722D0051,07/01/2022 - 03/31/2026,0001,23W,TURBINE FUELAVIATION JAA,,AIR,002170840,2.441643,5300416.29,
,ANCHORAGE INTERNATIONAL AIRPORT,PANC,AK,PETRO STAR INC.,INTERNATIONAL AVIATION,4200 W 50TH AVE  ANCHORAGE  AK 99502,907-243-0756,SPE60726D0027,04/01/2026 - 03/31/2029,0002,23W,FEDERAL EXCISE TAX,,AIR,003604000,.218000,785672.00,
,ANCHORAGE INTERNATIONAL AIRPORT,PANC,AK,PETRO STAR INC.,INTERNATIONAL AVIATION,4200 W 50TH AVE  ANCHORAGE  AK 99502,907-243-0756,SPE60726D0027,04/01/2026 - 03/31/2029,0003,23W,FSII Additive,FSII,AIRWF,003604000,.050000,180200.00,
,ANCHORAGE INTERNATIONAL AIRPORT,PANC,AK,PETRO STAR INC.,INTERNATIONAL AVIATION,4200 W 50TH AVE  ANCHORAGE  AK 99502,907-243-0756,SPE60726D0027,04/01/2026 - 03/31/2029,0001,23W,TURBINE FUELAVIATION JAA,,AIR,003604000,2.385783,8598361.93,
,FAIRBANKS INTERNATIONAL AIRPORT,PAFA,AK,EASTERN AVIATION FUELS  INC.,EVERTS AIR FUEL,6302 OLD AIRPORT RD  FAIRBANKS  AK 99709,907-450-2381,SPE60722D0102,09/01/2022 - 03/31/2026,0002,23W,FEDERAL EXCISE TAX,,AIR,000468308,.218000,102091.14,
,FAIRBANKS INTERNATIONAL AIRPORT,PAFA,AK,EASTERN AVIATION FUELS  INC.,EVERTS AIR FUEL,6302 OLD AIRPORT RD  FAIRBANKS  AK 99709,907-450-2381,SPE60722D0102,09/01/2022 - 03/31/2026,0003,23W,TURBINE FUELAVIATION JAA,FSII,AIRWF,001200000,2.703429,3244114.80,
,FAIRBANKS INTERNATIONAL AIRPORT,PAFA,AK,EASTERN AVIATION FUELS  INC.,EVERTS AIR FUEL,6302 OLD AIRPORT RD  FAIRBANKS  AK 99709,907-450-2381,SPE60722D0102,09/01/2022 - 03/31/2026,0004,23W,FEDERAL EXCISE TAX,FSII,AIRWF,000468308,.218000,102091.14,
